REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Florida,2014,4,X,X,X,X
States,Georgia,2014,4,1.84772,472,39,25545
States,Hawaii,2014,4,5.30303,70,16,1320
States,Idaho,2014,4,2.90499,85,10,2926
States,Illinois,2014,4,2.81371,1538,109,54661
States,Indiana,2014,4,3.38857,274,39,8086
States,Iowa,2014,4,0.573543,186,21,32430
States,Kansas,2014,4,5.28142,350,33,6627
States,Kentucky,2014,4,1.36875,235,19,17169
States,Louisiana,2014,4,4.90335,1456,57,29694
States,Maine,2014,4,1.80248,96,32,5326
States,Maryland,2014,4,2.07697,170,24,8185
States,Massachusetts,2014,4,1.74202,445,56,25545
States,Michigan,2014,4,2.5653,383,54,14930
States,Minnesota,2014,4,3.26496,156,20,4778
States,Mississippi,2014,4,4.99943,873,44,17462
States,Missouri,2014,4,3.19497,244,25,7637
States,Montana,2014,4,0.635497,14,8,2203
States,Nebraska,2014,4,2.49233,65,15,2608
States,Nevada,2014,4,2.09538,384,44,18326
States,New Hampshire,2014,4,1.08745,48,27,4414
States,New Jersey,2014,4,2.56233,185,25,7220
States,New Mexico,2014,4,4.58028,532,29,11615
States,New York,2014,4,2.91725,459,154,15734
States,North Carolina,2014,4,3.13997,498,56,15860
States,North Dakota,2014,4,2.42769,47,11,1936
States,Ohio,2014,4,1.83346,264,49,14399
States,Oklahoma,2014,4,7.53382,362,22,4805
States,Oregon,2014,4,2.36039,82,18,3474
States,Pennsylvania,2014,4,3.07744,366,48,11893
States,Rhode Island,2014,4,0.939137,52,20,5537
States,South Carolina,2014,4,1.40867,89,16,6318
States,South Dakota,2014,4,1.90963,112,24,5865
States,Tennessee,2014,4,4.22368,392,53,9281
States,Texas,2014,4,4.97024,2046,117,41165
States,Utah,2014,4,3.05851,529,44,17296
States,Vermont,2014,4,5.33255,182,11,3413
States,Virginia,2014,4,4.37013,3127,112,71554
States,Washington,2014,4,2.37034,117,16,4936
States,West Virginia,2014,4,4.54972,533,46,11715
States,Wisconsin,2014,4,2.62035,86,33,3282
States,Wyoming,2014,4,2.36266,123,22,5206
States,Puerto Rico,2014,4,3.84615,25,1,650
States,Virgin Islands,2014,4,0.566572,2,1,353
States,New York City,2014,4,3.09483,2651,72,85659
